latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C)
2024-06-25T00:00,16.2
2024-06-25T01:00,15.6
2024-06-25T02:00,15.1
2024-06-25T03:00,14.8
2024-06-25T04:00,15.1
2024-06-25T05:00,16.5
2024-06-25T06:00,18.7
2024-06-25T07:00,20.7
2024-06-25T08:00,22.5
2024-06-25T09:00,24.4
2024-06-25T10:00,25.2
2024-06-25T11:00,25.9
2024-06-25T12:00,25.8
2024-06-25T13:00,26.3
2024-06-25T14:00,26.6
2024-06-25T15:00,25.8
2024-06-25T16:00,25.4
2024-06-25T17:00,24.6
2024-06-25T18:00,23.8
2024-06-25T19:00,22.4
2024-06-25T20:00,20.9
2024-06-25T21:00,19.8
2024-06-25T22:00,19.1
2024-06-25T23:00,18.4
2024-06-26T00:00,18.0
2024-06-26T01:00,17.5
2024-06-26T02:00,17.1
2024-06-26T03:00,16.8
2024-06-26T04:00,16.8
2024-06-26T05:00,17.8
2024-06-26T06:00,19.5
2024-06-26T07:00,21.4
2024-06-26T08:00,23.5
2024-06-26T09:00,25.4
2024-06-26T10:00,27.2
2024-06-26T11:00,28.4
2024-06-26T12:00,28.9
2024-06-26T13:00,29.3
2024-06-26T14:00,29.5
2024-06-26T15:00,29.9
2024-06-26T16:00,29.8
2024-06-26T17:00,29.2
2024-06-26T18:00,28.0
2024-06-26T19:00,26.3
2024-06-26T20:00,24.7
2024-06-26T21:00,23.4
2024-06-26T22:00,22.6
2024-06-26T23:00,22.0
2024-06-27T00:00,21.5
2024-06-27T01:00,21.0
2024-06-27T02:00,20.5
2024-06-27T03:00,20.0
2024-06-27T04:00,20.0
2024-06-27T05:00,21.0
2024-06-27T06:00,22.8
2024-06-27T07:00,24.8
2024-06-27T08:00,26.8
2024-06-27T09:00,28.5
2024-06-27T10:00,29.7
2024-06-27T11:00,30.2
2024-06-27T12:00,30.9
2024-06-27T13:00,31.2
2024-06-27T14:00,31.2
2024-06-27T15:00,31.6
2024-06-27T16:00,28.8
2024-06-27T17:00,23.7
2024-06-27T18:00,23.7
2024-06-27T19:00,23.0
2024-06-27T20:00,22.6
2024-06-27T21:00,22.3
2024-06-27T22:00,21.9
2024-06-27T23:00,21.3
2024-06-28T00:00,20.9
2024-06-28T01:00,20.6
2024-06-28T02:00,20.2
2024-06-28T03:00,19.9
2024-06-28T04:00,20.0
2024-06-28T05:00,20.7
2024-06-28T06:00,22.1
2024-06-28T07:00,23.8
2024-06-28T08:00,25.7
2024-06-28T09:00,27.5
2024-06-28T10:00,27.7
2024-06-28T11:00,24.5
2024-06-28T12:00,26.3
2024-06-28T13:00,25.8
2024-06-28T14:00,23.6
2024-06-28T15:00,21.4
2024-06-28T16:00,21.1
2024-06-28T17:00,22.0
2024-06-28T18:00,22.2
2024-06-28T19:00,21.6
2024-06-28T20:00,20.8
2024-06-28T21:00,19.9
2024-06-28T22:00,19.1
2024-06-28T23:00,18.3
2024-06-29T00:00,17.6
2024-06-29T01:00,16.9
2024-06-29T02:00,16.3
2024-06-29T03:00,16.1
2024-06-29T04:00,16.5
2024-06-29T05:00,17.3
2024-06-29T06:00,18.3
2024-06-29T07:00,19.7
2024-06-29T08:00,21.3
2024-06-29T09:00,22.7
2024-06-29T10:00,23.8
2024-06-29T11:00,24.8
2024-06-29T12:00,25.5
2024-06-29T13:00,26.1
2024-06-29T14:00,26.4
2024-06-29T15:00,26.5
2024-06-29T16:00,26.5
2024-06-29T17:00,26.2
2024-06-29T18:00,25.6
2024-06-29T19:00,24.2
2024-06-29T20:00,22.4
2024-06-29T21:00,20.9
2024-06-29T22:00,20.1
2024-06-29T23:00,19.6
2024-06-30T00:00,19.2
2024-06-30T01:00,18.9
2024-06-30T02:00,18.7
2024-06-30T03:00,18.5
2024-06-30T04:00,18.0
2024-06-30T05:00,17.5
2024-06-30T06:00,17.2
2024-06-30T07:00,17.2
2024-06-30T08:00,17.4
2024-06-30T09:00,17.6
2024-06-30T10:00,17.7
2024-06-30T11:00,17.8
2024-06-30T12:00,17.8
2024-06-30T13:00,18.9
2024-06-30T14:00,19.2
2024-06-30T15:00,19.5
2024-06-30T16:00,19.9
2024-06-30T17:00,20.4
2024-06-30T18:00,20.5
2024-06-30T19:00,20.2
2024-06-30T20:00,19.6
2024-06-30T21:00,19.0
2024-06-30T22:00,18.5
2024-06-30T23:00,18.1
2024-07-01T00:00,17.7
2024-07-01T01:00,17.2
2024-07-01T02:00,16.7
2024-07-01T03:00,16.3
2024-07-01T04:00,16.2
2024-07-01T05:00,16.2
2024-07-01T06:00,16.4
2024-07-01T07:00,17.0
2024-07-01T08:00,17.7
2024-07-01T09:00,18.6
2024-07-01T10:00,19.5
2024-07-01T11:00,20.6
2024-07-01T12:00,21.4
2024-07-01T13:00,21.8
2024-07-01T14:00,22.1
2024-07-01T15:00,22.0
2024-07-01T16:00,21.7
2024-07-01T17:00,21.1
2024-07-01T18:00,20.2
2024-07-01T19:00,19.1
2024-07-01T20:00,17.7
2024-07-01T21:00,16.5
2024-07-01T22:00,15.8
2024-07-01T23:00,15.2
